"Status_Checking","Duration","Credit_history","Purpose","Credit_amount","Saving","Empolyment_duration","Installment_rate","Otherdebtors","Residence_Year","Property","Age","Other_installment_plan","Housing","Exisiting_credits","Job","Liable_People","Telephone","Foreign_worker","Credit_default","Sex","Marital_status"
"251",">200$",12,"existing_credits_paid_back_duly_till_now","furniture/equipment",2251,"<100$",">1year<=4years",1,"no",2,"car_other",46,"no","own",1,"unskilled",1,"no","yes",0,"F","divorced"
"252",">0<200$",30,"existing_credits_paid_back_duly_till_now","car_new",2150,"<100$",">1year<=4years",4,"guarantor",2,"no_property",24,"bank","own",1,"skilled",1,"no","yes",1,"F","divorced"
"253","no_savings",24,"delay_pay_past","furniture/equipment",4151,">100<500",">1year<=4years",2,"no",3,"life_insurance",35,"no","own",2,"skilled",1,"no","yes",0,"M","single"
"254",">0<200$",9,"existing_credits_paid_back_duly_till_now","furniture/equipment",2030,"no_savings",">4years<=7years",2,"no",1,"car_other",24,"no","own",1,"skilled",1,"yes","yes",0,"M","single"
"255",">0<200$",60,"delay_pay_past","radio_television",7418,"no_savings",">1year<=4years",1,"no",1,"real_estate",27,"no","own",1,"unskilled",1,"no","yes",0,"M","single"
"256","no_savings",24,"other_credits_existing_other_bank","radio_television",2684,"<100$",">1year<=4years",4,"no",2,"real_estate",35,"no","own",2,"unskilled",1,"no","yes",0,"M","single"
"257","<0$",12,"all_credits_paid","radio_television",2149,"<100$",">1year<=4years",4,"no",1,"no_property",29,"no","for_free",1,"skilled",1,"no","yes",1,"M","divorced"
"258","no_savings",15,"existing_credits_paid_back_duly_till_now","car_used",3812,">100<500","<1year",1,"no",4,"car_other",23,"no","own",1,"skilled",1,"yes","yes",0,"F","divorced"
"259","no_savings",11,"other_credits_existing_other_bank","radio_television",1154,">100<500","unemployed",4,"no",4,"real_estate",57,"no","own",3,"unskilled",1,"no","yes",0,"F","divorced"
"260","<0$",12,"existing_credits_paid_back_duly_till_now","furniture/equipment",1657,"<100$",">1year<=4years",2,"no",2,"real_estate",27,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"261","<0$",24,"existing_credits_paid_back_duly_till_now","radio_television",1603,"<100$",">=7years",4,"no",4,"car_other",55,"no","own",1,"skilled",1,"no","yes",0,"F","divorced"
"262","<0$",18,"other_credits_existing_other_bank","car_new",5302,"<100$",">=7years",2,"no",4,"no_property",36,"no","for_free",3,"self-employed",1,"yes","yes",0,"M","single"
"263","no_savings",12,"other_credits_existing_other_bank","education",2748,"<100$",">=7years",2,"no",4,"no_property",57,"bank","for_free",3,"unskilled",1,"no","yes",0,"F","divorced"
"264","no_savings",10,"other_credits_existing_other_bank","car_new",1231,"<100$",">=7years",3,"no",4,"real_estate",32,"no","own",2,"unskilled",2,"no","no",0,"M","single"
"265",">0<200$",15,"existing_credits_paid_back_duly_till_now","radio_television",802,"<100$",">=7years",4,"no",3,"car_other",37,"no","own",1,"skilled",2,"no","yes",1,"M","single"
"266","no_savings",36,"other_credits_existing_other_bank","business",6304,"no_savings",">=7years",4,"no",4,"real_estate",36,"no","own",2,"skilled",1,"no","yes",0,"M","single"
"267","no_savings",24,"existing_credits_paid_back_duly_till_now","radio_television",1533,"<100$","<1year",4,"no",3,"car_other",38,"stores","own",1,"skilled",1,"yes","yes",0,"F","divorced"
"268","<0$",14,"existing_credits_paid_back_duly_till_now","car_new",8978,"<100$",">=7years",1,"no",4,"life_insurance",45,"no","own",1,"self-employed",1,"yes","no",1,"M","divorced"
"269","no_savings",24,"existing_credits_paid_back_duly_till_now","radio_television",999,"no_savings",">=7years",4,"no",2,"car_other",25,"no","own",2,"skilled",1,"no","yes",0,"M","single"
"270","no_savings",18,"existing_credits_paid_back_duly_till_now","car_new",2662,"no_savings",">4years<=7years",4,"no",3,"life_insurance",32,"no","own",1,"skilled",1,"no","no",0,"M","single"
"271","no_savings",12,"other_credits_existing_other_bank","furniture/equipment",1402,">500<1000",">4years<=7years",3,"no",4,"car_other",37,"no","rent",1,"skilled",1,"yes","yes",0,"F","divorced"
"272",">0<200$",48,"all_credits_paid","car_new",12169,"no_savings","unemployed",4,"co_applicant",4,"no_property",36,"no","for_free",1,"self-employed",1,"yes","yes",0,"M","single"
"273",">0<200$",48,"existing_credits_paid_back_duly_till_now","radio_television",3060,"<100$",">4years<=7years",4,"no",4,"real_estate",28,"no","own",2,"skilled",1,"no","yes",1,"M","single"
"274","<0$",30,"existing_credits_paid_back_duly_till_now","repairs",11998,"<100$","<1year",1,"no",1,"no_property",34,"no","own",1,"unskilled",1,"yes","yes",1,"M","divorced"
"275","no_savings",9,"existing_credits_paid_back_duly_till_now","radio_television",2697,"<100$",">1year<=4years",1,"no",2,"real_estate",32,"no","own",1,"skilled",2,"no","yes",0,"M","single"
"276","no_savings",18,"other_credits_existing_other_bank","radio_television",2404,"<100$",">1year<=4years",2,"no",2,"car_other",26,"no","own",2,"skilled",1,"no","yes",0,"F","divorced"
"277","<0$",12,"existing_credits_paid_back_duly_till_now","furniture/equipment",1262,"no_savings",">=7years",2,"no",4,"life_insurance",49,"no","own",1,"unskilled",1,"yes","yes",0,"M","divorced"
"278","no_savings",6,"existing_credits_paid_back_duly_till_now","furniture/equipment",4611,"<100$","<1year",1,"no",4,"life_insurance",32,"no","own",1,"skilled",1,"no","yes",1,"F","divorced"
"279","no_savings",24,"existing_credits_paid_back_duly_till_now","radio_television",1901,">100<500",">1year<=4years",4,"no",4,"car_other",29,"no","rent",1,"self-employed",1,"yes","yes",0,"M","single"
"280","no_savings",15,"other_credits_existing_other_bank","car_used",3368,">=1000",">=7years",3,"no",4,"no_property",23,"no","rent",2,"skilled",1,"yes","yes",0,"M","single"
"281","no_savings",12,"existing_credits_paid_back_duly_till_now","furniture/equipment",1574,"<100$",">1year<=4years",4,"no",2,"real_estate",50,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"282",">200$",18,"all_credits_paid","radio_television",1445,"no_savings",">4years<=7years",4,"no",4,"car_other",49,"bank","own",1,"unskilled",1,"no","yes",0,"M","single"
"283","no_savings",15,"other_credits_existing_other_bank","furniture/equipment",1520,"no_savings",">=7years",4,"no",4,"life_insurance",63,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"284",">0<200$",24,"other_credits_existing_other_bank","car_new",3878,">100<500","<1year",4,"no",2,"car_other",37,"no","own",1,"skilled",1,"yes","yes",0,"M","divorced"
"285","<0$",47,"existing_credits_paid_back_duly_till_now","car_new",10722,"<100$","<1year",1,"no",1,"real_estate",35,"no","own",1,"unskilled",1,"yes","yes",0,"F","divorced"
"286","<0$",48,"existing_credits_paid_back_duly_till_now","car_used",4788,"<100$",">4years<=7years",4,"no",3,"life_insurance",26,"no","own",1,"skilled",2,"no","yes",0,"M","single"
"287",">0<200$",48,"delay_pay_past","car_used0",7582,">100<500","unemployed",2,"no",4,"no_property",31,"no","for_free",1,"self-employed",1,"yes","yes",0,"M","single"
"288",">0<200$",12,"existing_credits_paid_back_duly_till_now","radio_television",1092,"<100$",">1year<=4years",4,"guarantor",4,"real_estate",49,"no","own",2,"skilled",1,"yes","yes",0,"F","divorced"
"289","<0$",24,"delay_pay_past","radio_television",1024,"<100$","<1year",4,"no",4,"real_estate",48,"stores","own",1,"skilled",1,"no","yes",1,"M","married"
"290","no_savings",12,"existing_credits_paid_back_duly_till_now","business",1076,"<100$",">1year<=4years",2,"no",2,"real_estate",26,"no","own",1,"skilled",1,"yes","no",0,"M","married"
"291",">0<200$",36,"existing_credits_paid_back_duly_till_now","car_used",9398,"<100$","<1year",1,"no",4,"car_other",28,"no","rent",1,"self-employed",1,"yes","yes",1,"M","married"
"292","<0$",24,"other_credits_existing_other_bank","car_used",6419,"<100$",">=7years",2,"no",4,"no_property",44,"no","for_free",2,"self-employed",2,"yes","yes",0,"F","divorced"
"293",">200$",42,"other_credits_existing_other_bank","car_used",4796,"<100$",">=7years",4,"no",4,"no_property",56,"no","for_free",1,"skilled",1,"no","yes",0,"M","single"
"294","no_savings",48,"other_credits_existing_other_bank","business",7629,"no_savings",">=7years",4,"no",2,"car_other",46,"bank","own",2,"self-employed",2,"no","yes",0,"M","divorced"
"295",">0<200$",48,"existing_credits_paid_back_duly_till_now","furniture/equipment",9960,"<100$","<1year",1,"no",2,"car_other",26,"no","own",1,"skilled",1,"yes","yes",1,"F","divorced"
"296","no_savings",12,"existing_credits_paid_back_duly_till_now","car_used",4675,"no_savings","<1year",1,"no",4,"car_other",20,"no","rent",1,"skilled",1,"no","yes",0,"F","divorced"
"297","no_savings",10,"existing_credits_paid_back_duly_till_now","car_new",1287,"no_savings",">=7years",4,"co_applicant",2,"life_insurance",45,"no","own",1,"unskilled",1,"no","no",0,"M","single"
"298","no_savings",18,"existing_credits_paid_back_duly_till_now","furniture/equipment",2515,"<100$",">1year<=4years",3,"no",4,"real_estate",43,"no","own",1,"skilled",1,"yes","yes",0,"M","single"
"299",">0<200$",21,"other_credits_existing_other_bank","furniture/equipment",2745,">=1000",">4years<=7years",3,"no",2,"car_other",32,"no","own",2,"skilled",1,"yes","yes",0,"M","single"
"300","no_savings",6,"existing_credits_paid_back_duly_till_now","car_new",672,"<100$","unemployed",1,"no",4,"real_estate",54,"no","own",1,"unemployed",1,"yes","yes",0,"F","divorced"
"301",">0<200$",36,"no_credits_taken","radio_television",3804,"<100$",">1year<=4years",4,"no",1,"car_other",42,"no","own",1,"skilled",1,"yes","yes",1,"F","divorced"
"302",">200$",24,"other_credits_existing_other_bank","car_new",1344,"no_savings",">4years<=7years",4,"no",2,"real_estate",37,"bank","own",2,"unskilled",2,"no","yes",1,"M","single"
"303","<0$",10,"other_credits_existing_other_bank","car_new",1038,"<100$",">4years<=7years",4,"co_applicant",3,"life_insurance",49,"no","own",2,"skilled",1,"yes","yes",0,"M","single"
"304","no_savings",48,"other_credits_existing_other_bank","car_new",10127,">500<1000",">1year<=4years",2,"no",2,"no_property",44,"bank","for_free",1,"skilled",1,"no","yes",1,"M","single"
"305","no_savings",6,"existing_credits_paid_back_duly_till_now","furniture/equipment",1543,">=1000",">1year<=4years",4,"no",2,"real_estate",33,"no","own",1,"skilled",1,"no","yes",0,"M","divorced"
"306","no_savings",30,"existing_credits_paid_back_duly_till_now","car_used",4811,"no_savings",">4years<=7years",2,"no",4,"life_insurance",24,"stores","rent",1,"unskilled",1,"no","yes",0,"F","divorced"
"307","<0$",12,"existing_credits_paid_back_duly_till_now","radio_television",727,">100<500","<1year",4,"no",3,"no_property",33,"no","own",1,"unskilled",1,"yes","yes",1,"M","married"
"308",">0<200$",8,"existing_credits_paid_back_duly_till_now","furniture/equipment",1237,"<100$",">1year<=4years",3,"no",4,"real_estate",24,"no","own",1,"skilled",1,"no","yes",1,"F","divorced"
"309",">0<200$",9,"existing_credits_paid_back_duly_till_now","car_new",276,"<100$",">1year<=4years",4,"no",4,"real_estate",22,"no","rent",1,"unskilled",1,"no","yes",0,"M","married"
"310",">0<200$",48,"existing_credits_paid_back_duly_till_now","car_used0",5381,"no_savings","unemployed",3,"no",4,"no_property",40,"bank","for_free",1,"unemployed",1,"yes","yes",0,"M","single"
"311","no_savings",24,"existing_credits_paid_back_duly_till_now","furniture/equipment",5511,">100<500",">1year<=4years",4,"no",1,"car_other",25,"stores","own",1,"skilled",1,"no","yes",0,"M","single"
"312",">200$",24,"existing_credits_paid_back_duly_till_now","furniture/equipment",3749,"<100$","<1year",2,"no",4,"car_other",26,"no","own",1,"skilled",1,"no","yes",0,"F","divorced"
"313",">0<200$",12,"existing_credits_paid_back_duly_till_now","car_new",685,"<100$",">4years<=7years",2,"no",3,"car_other",25,"bank","own",1,"unskilled",1,"no","yes",1,"M","married"
"314",">200$",4,"existing_credits_paid_back_duly_till_now","car_new",1494,"no_savings","<1year",1,"no",2,"real_estate",29,"no","own",1,"unskilled",2,"no","no",0,"M","single"
"315","<0$",36,"all_credits_paid","furniture/equipment",2746,"<100$",">=7years",4,"no",4,"car_other",31,"bank","own",1,"skilled",1,"no","yes",1,"M","single"
"316","<0$",12,"existing_credits_paid_back_duly_till_now","furniture/equipment",708,"<100$",">1year<=4years",2,"guarantor",3,"life_insurance",38,"no","own",1,"unskilled",2,"no","yes",0,"M","single"
"317",">0<200$",24,"existing_credits_paid_back_duly_till_now","furniture/equipment",4351,"no_savings",">1year<=4years",1,"no",4,"life_insurance",48,"no","own",1,"unskilled",1,"yes","yes",0,"F","divorced"
"318","no_savings",12,"other_credits_existing_other_bank","education",701,"<100$",">1year<=4years",4,"no",2,"car_other",32,"no","own",2,"skilled",1,"no","yes",0,"M","single"
"319","<0$",15,"delay_pay_past","furniture/equipment",3643,"<100$",">=7years",1,"no",4,"life_insurance",27,"no","own",2,"unskilled",1,"no","yes",0,"F","divorced"
"320",">0<200$",30,"other_credits_existing_other_bank","car_new",4249,"<100$","unemployed",4,"no",2,"car_other",28,"no","own",2,"self-employed",1,"no","yes",1,"M","married"
"321","<0$",24,"existing_credits_paid_back_duly_till_now","radio_television",1938,"<100$","<1year",4,"no",3,"life_insurance",32,"no","own",1,"skilled",1,"no","yes",1,"M","divorced"
"322","<0$",24,"existing_credits_paid_back_duly_till_now","car_used",2910,"<100$",">4years<=7years",2,"no",1,"no_property",34,"no","for_free",1,"self-employed",1,"yes","yes",0,"M","single"
"323","<0$",18,"existing_credits_paid_back_duly_till_now","furniture/equipment",2659,">=1000",">1year<=4years",4,"no",2,"car_other",28,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"324","no_savings",18,"other_credits_existing_other_bank","car_new",1028,"<100$",">1year<=4years",4,"no",3,"real_estate",36,"no","own",2,"skilled",1,"no","yes",0,"F","divorced"
"325","<0$",8,"other_credits_existing_other_bank","car_new",3398,"<100$",">4years<=7years",1,"no",4,"real_estate",39,"no","own",2,"unskilled",1,"no","no",0,"M","single"
"326","no_savings",12,"other_credits_existing_other_bank","furniture/equipment",5801,"no_savings",">=7years",2,"no",4,"life_insurance",49,"no","rent",1,"skilled",1,"yes","yes",0,"M","single"
"327","no_savings",24,"existing_credits_paid_back_duly_till_now","car_new",1525,">=1000",">4years<=7years",4,"no",3,"car_other",34,"no","own",1,"skilled",2,"yes","yes",0,"F","divorced"
"328",">200$",36,"existing_credits_paid_back_duly_till_now","radio_television",4473,"<100$",">=7years",4,"no",2,"car_other",31,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"329",">0<200$",6,"existing_credits_paid_back_duly_till_now","radio_television",1068,"<100$",">=7years",4,"no",4,"car_other",28,"no","own",1,"skilled",2,"no","yes",0,"M","single"
"330","<0$",24,"other_credits_existing_other_bank","car_used",6615,"<100$","unemployed",2,"no",4,"no_property",75,"no","for_free",2,"self-employed",1,"yes","yes",0,"M","single"
"331","no_savings",18,"other_credits_existing_other_bank","education",1864,">100<500",">1year<=4years",4,"no",2,"real_estate",30,"no","own",2,"skilled",1,"no","yes",1,"F","divorced"
"332",">0<200$",60,"existing_credits_paid_back_duly_till_now","car_new",7408,">100<500","<1year",4,"no",2,"life_insurance",24,"no","own",1,"self-employed",1,"no","yes",1,"F","divorced"
"333","no_savings",48,"other_credits_existing_other_bank","car_used",11590,">100<500",">1year<=4years",2,"no",4,"car_other",24,"bank","rent",2,"unskilled",1,"no","yes",1,"F","divorced"
"334","<0$",24,"no_credits_taken","furniture/equipment",4110,"<100$",">=7years",3,"no",4,"no_property",23,"bank","rent",2,"skilled",2,"no","yes",1,"M","single"
"335","<0$",6,"other_credits_existing_other_bank","furniture/equipment",3384,"<100$",">1year<=4years",1,"no",4,"real_estate",44,"no","rent",1,"self-employed",1,"yes","yes",1,"M","divorced"
"336",">0<200$",13,"existing_credits_paid_back_duly_till_now","radio_television",2101,"<100$","<1year",2,"guarantor",4,"life_insurance",23,"no","own",1,"unskilled",1,"no","yes",0,"F","divorced"
"337","<0$",15,"existing_credits_paid_back_duly_till_now","domestic_appliances",1275,"no_savings",">1year<=4years",4,"no",2,"car_other",24,"no","rent",1,"skilled",1,"no","yes",1,"F","divorced"
"338","<0$",24,"existing_credits_paid_back_duly_till_now","furniture/equipment",4169,"<100$",">1year<=4years",4,"no",4,"life_insurance",28,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"339",">0<200$",10,"existing_credits_paid_back_duly_till_now","furniture/equipment",1521,"<100$",">1year<=4years",4,"no",2,"car_other",31,"no","own",1,"unskilled",1,"no","yes",0,"M","divorced"
"340",">0<200$",24,"other_credits_existing_other_bank","education",5743,"<100$","<1year",2,"no",4,"no_property",24,"no","for_free",2,"skilled",1,"yes","yes",0,"F","divorced"
"341","<0$",21,"existing_credits_paid_back_duly_till_now","furniture/equipment",3599,"<100$",">4years<=7years",1,"no",4,"car_other",26,"no","rent",1,"unskilled",1,"no","yes",0,"F","divorced"
"342",">0<200$",18,"existing_credits_paid_back_duly_till_now","radio_television",3213,">500<1000","<1year",1,"no",3,"real_estate",25,"no","rent",1,"skilled",1,"no","yes",0,"M","married"
"343",">0<200$",18,"existing_credits_paid_back_duly_till_now","business",4439,"<100$",">=7years",1,"co_applicant",1,"real_estate",33,"bank","own",1,"self-employed",1,"yes","yes",0,"M","single"
"344",">200$",10,"existing_credits_paid_back_duly_till_now","car_new",3949,"<100$","<1year",1,"guarantor",1,"life_insurance",37,"no","own",1,"unskilled",2,"no","yes",0,"M","single"
"345","no_savings",15,"other_credits_existing_other_bank","radio_television",1459,"<100$",">1year<=4years",4,"no",2,"car_other",43,"no","own",1,"unskilled",1,"no","yes",0,"F","divorced"
"346",">0<200$",13,"other_credits_existing_other_bank","radio_television",882,"<100$","<1year",4,"guarantor",4,"real_estate",23,"no","own",2,"skilled",1,"no","yes",0,"M","single"
"347",">0<200$",24,"existing_credits_paid_back_duly_till_now","radio_television",3758,">500<1000","unemployed",1,"no",4,"no_property",23,"no","rent",1,"unemployed",1,"no","yes",0,"F","divorced"
"348","no_savings",6,"delay_pay_past","business",1743,">100<500",">1year<=4years",1,"no",2,"real_estate",34,"no","own",2,"unskilled",1,"no","yes",0,"M","single"
"349",">0<200$",9,"other_credits_existing_other_bank","education",1136,">=1000",">=7years",4,"no",3,"no_property",32,"no","for_free",2,"skilled",2,"no","yes",1,"M","single"
"350","no_savings",9,"existing_credits_paid_back_duly_till_now","domestic_appliances",1236,"<100$","<1year",1,"no",4,"real_estate",23,"no","rent",1,"skilled",1,"yes","yes",0,"F","divorced"
"351",">0<200$",9,"existing_credits_paid_back_duly_till_now","furniture/equipment",959,"<100$",">1year<=4years",1,"no",2,"car_other",29,"no","own",1,"skilled",1,"no","no",1,"F","divorced"
"352","no_savings",18,"other_credits_existing_other_bank","car_used",3229,"no_savings","unemployed",2,"no",4,"no_property",38,"no","own",1,"self-employed",1,"yes","yes",0,"M","single"
"353","<0$",12,"no_credits_taken","radio_television",6199,"<100$",">1year<=4years",4,"no",2,"life_insurance",28,"no","rent",2,"skilled",1,"yes","yes",1,"M","single"
"354","no_savings",10,"existing_credits_paid_back_duly_till_now","education",727,">500<1000",">=7years",4,"no",4,"no_property",46,"no","for_free",1,"skilled",1,"yes","yes",0,"M","single"
"355",">0<200$",24,"existing_credits_paid_back_duly_till_now","car_new",1246,"<100$","<1year",4,"no",2,"real_estate",23,"stores","own",1,"unskilled",1,"no","yes",1,"M","single"
"356","no_savings",12,"other_credits_existing_other_bank","radio_television",2331,"no_savings",">=7years",1,"co_applicant",4,"real_estate",49,"no","own",1,"skilled",1,"yes","yes",0,"M","single"
"357","no_savings",36,"delay_pay_past","radio_television",4463,"<100$",">1year<=4years",4,"no",2,"car_other",26,"no","own",2,"self-employed",1,"yes","yes",1,"M","single"
"358","no_savings",12,"existing_credits_paid_back_duly_till_now","radio_television",776,"<100$",">1year<=4years",4,"no",2,"real_estate",28,"no","own",1,"skilled",1,"no","yes",0,"M","married"
"359","<0$",30,"existing_credits_paid_back_duly_till_now","furniture/equipment",2406,"<100$",">4years<=7years",4,"no",4,"real_estate",23,"no","rent",1,"skilled",1,"no","yes",1,"F","divorced"
"360",">0<200$",18,"existing_credits_paid_back_duly_till_now","education",1239,"no_savings",">1year<=4years",4,"no",4,"no_property",61,"no","for_free",1,"skilled",1,"no","yes",0,"M","single"
"361",">200$",12,"existing_credits_paid_back_duly_till_now","radio_television",3399,"no_savings",">=7years",2,"no",3,"car_other",37,"no","own",1,"self-employed",1,"no","yes",0,"M","single"
"362",">200$",12,"delay_pay_past","car_new",2247,"<100$",">1year<=4years",2,"no",2,"car_other",36,"stores","own",2,"skilled",1,"yes","yes",0,"F","divorced"
"363","no_savings",6,"existing_credits_paid_back_duly_till_now","furniture/equipment",1766,"<100$",">1year<=4years",1,"no",2,"life_insurance",21,"no","rent",1,"skilled",1,"no","yes",0,"M","married"
"364","<0$",18,"existing_credits_paid_back_duly_till_now","furniture/equipment",2473,"<100$","unemployed",4,"no",1,"car_other",25,"no","own",1,"unemployed",1,"no","yes",1,"M","single"
"365","no_savings",12,"existing_credits_paid_back_duly_till_now","business",1542,"<100$",">4years<=7years",2,"no",4,"car_other",36,"no","own",1,"skilled",1,"yes","yes",0,"M","single"
"366","no_savings",18,"other_credits_existing_other_bank","car_used",3850,"<100$",">4years<=7years",3,"no",1,"car_other",27,"no","own",2,"skilled",1,"no","yes",0,"M","single"
"367","<0$",18,"existing_credits_paid_back_duly_till_now","furniture/equipment",3650,"<100$","<1year",1,"no",4,"car_other",22,"no","rent",1,"skilled",1,"no","yes",0,"F","divorced"
"368","<0$",36,"existing_credits_paid_back_duly_till_now","furniture/equipment",3446,"<100$",">=7years",4,"no",2,"car_other",42,"no","own",1,"skilled",2,"no","yes",1,"M","single"
"369",">0<200$",18,"existing_credits_paid_back_duly_till_now","furniture/equipment",3001,"<100$",">4years<=7years",2,"no",4,"real_estate",40,"no","rent",1,"skilled",1,"no","yes",0,"F","divorced"
"370","no_savings",36,"existing_credits_paid_back_duly_till_now","car_new",3079,"no_savings",">1year<=4years",4,"no",4,"real_estate",36,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"371","no_savings",18,"other_credits_existing_other_bank","radio_television",6070,"<100$",">=7years",3,"no",4,"car_other",33,"no","own",2,"skilled",1,"yes","yes",0,"M","single"
"372","no_savings",10,"other_credits_existing_other_bank","furniture/equipment",2146,"<100$","<1year",1,"no",3,"real_estate",23,"no","rent",2,"skilled",1,"no","yes",0,"F","divorced"
"373","no_savings",60,"other_credits_existing_other_bank","car_new",13756,"no_savings",">=7years",2,"no",4,"no_property",63,"bank","for_free",1,"self-employed",1,"yes","yes",0,"M","single"
"374",">0<200$",60,"all_credits_paid","car_used0",14782,">100<500",">=7years",3,"no",4,"no_property",60,"bank","for_free",2,"self-employed",1,"yes","yes",1,"F","divorced"
"375","<0$",48,"all_credits_paid","business",7685,"<100$",">4years<=7years",2,"guarantor",4,"car_other",37,"no","rent",1,"skilled",1,"no","yes",1,"F","divorced"
"376","no_savings",18,"delay_pay_past","radio_television",2320,"<100$","unemployed",2,"no",3,"real_estate",34,"no","own",2,"skilled",1,"no","yes",0,"M","married"
"377","no_savings",7,"delay_pay_past","radio_television",846,"no_savings",">=7years",3,"no",4,"no_property",36,"no","for_free",1,"skilled",1,"no","yes",0,"M","single"
"378",">0<200$",36,"existing_credits_paid_back_duly_till_now","car_new",14318,"<100$",">=7years",4,"no",2,"no_property",57,"no","for_free",1,"self-employed",1,"yes","yes",1,"M","single"
"379","no_savings",6,"other_credits_existing_other_bank","car_new",362,">100<500",">1year<=4years",4,"no",4,"car_other",52,"no","own",2,"unskilled",1,"no","yes",0,"F","divorced"
"380","<0$",20,"existing_credits_paid_back_duly_till_now","furniture/equipment",2212,"no_savings",">4years<=7years",4,"no",4,"car_other",39,"no","own",1,"skilled",1,"yes","yes",0,"M","single"
"381",">0<200$",18,"existing_credits_paid_back_duly_till_now","car_used",12976,"<100$","unemployed",3,"no",4,"no_property",38,"no","for_free",1,"self-employed",1,"yes","yes",1,"F","divorced"
"382","no_savings",22,"existing_credits_paid_back_duly_till_now","car_new",1283,"no_savings",">4years<=7years",4,"no",4,"life_insurance",25,"no","rent",1,"skilled",1,"no","yes",0,"F","divorced"
"383",">200$",12,"existing_credits_paid_back_duly_till_now","car_new",1330,"<100$","<1year",4,"no",1,"real_estate",26,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"384","no_savings",30,"delay_pay_past","business",4272,">100<500",">1year<=4years",2,"no",2,"life_insurance",26,"no","own",2,"unskilled",1,"no","yes",0,"M","single"
"385","no_savings",18,"other_credits_existing_other_bank","radio_television",2238,"<100$",">1year<=4years",2,"no",1,"car_other",25,"no","own",2,"skilled",1,"no","yes",0,"F","divorced"
"386","no_savings",18,"existing_credits_paid_back_duly_till_now","radio_television",1126,"no_savings","<1year",4,"no",2,"real_estate",21,"no","rent",1,"skilled",1,"yes","yes",0,"F","divorced"
"387",">0<200$",18,"other_credits_existing_other_bank","furniture/equipment",7374,"<100$","unemployed",4,"no",4,"life_insurance",40,"stores","own",2,"self-employed",1,"yes","yes",0,"M","single"
"388",">0<200$",15,"other_credits_existing_other_bank","business",2326,">500<1000",">1year<=4years",2,"no",4,"car_other",27,"bank","own",1,"skilled",1,"no","yes",0,"M","single"
"389","no_savings",9,"existing_credits_paid_back_duly_till_now","business",1449,"<100$",">4years<=7years",3,"no",2,"car_other",27,"no","own",2,"skilled",1,"no","yes",0,"F","divorced"
"390","no_savings",18,"existing_credits_paid_back_duly_till_now","car_new",1820,"<100$",">1year<=4years",2,"no",2,"life_insurance",30,"no","own",1,"self-employed",1,"yes","yes",0,"M","married"
"391",">0<200$",12,"existing_credits_paid_back_duly_till_now","furniture/equipment",983,">=1000","<1year",1,"no",4,"real_estate",19,"no","rent",1,"unskilled",1,"no","yes",0,"F","divorced"
"392","<0$",36,"existing_credits_paid_back_duly_till_now","car_new",3249,"<100$",">4years<=7years",2,"no",4,"no_property",39,"bank","for_free",1,"self-employed",2,"yes","yes",0,"M","single"
"393","<0$",6,"other_credits_existing_other_bank","radio_television",1957,"<100$",">4years<=7years",1,"no",4,"car_other",31,"no","own",1,"skilled",1,"no","yes",0,"F","divorced"
"394","no_savings",9,"other_credits_existing_other_bank","furniture/equipment",2406,"<100$","unemployed",2,"no",3,"car_other",31,"no","own",1,"self-employed",1,"no","yes",0,"M","single"
"395",">0<200$",39,"delay_pay_past","education",11760,">100<500",">4years<=7years",2,"no",3,"no_property",32,"no","rent",1,"skilled",1,"yes","yes",0,"M","single"
"396","<0$",12,"existing_credits_paid_back_duly_till_now","furniture/equipment",2578,"<100$","unemployed",3,"no",4,"no_property",55,"no","for_free",1,"self-employed",1,"no","yes",0,"F","divorced"
"397","<0$",36,"other_credits_existing_other_bank","furniture/equipment",2348,"<100$",">1year<=4years",3,"no",2,"life_insurance",46,"no","own",2,"skilled",1,"yes","yes",0,"M","married"
"398",">0<200$",12,"existing_credits_paid_back_duly_till_now","car_new",1223,"<100$",">=7years",1,"no",1,"real_estate",46,"no","rent",2,"skilled",1,"no","yes",1,"M","divorced"
"399","no_savings",24,"other_credits_existing_other_bank","radio_television",1516,">=1000",">1year<=4years",4,"no",1,"real_estate",43,"no","own",2,"unskilled",1,"no","yes",0,"F","divorced"
"400","no_savings",18,"existing_credits_paid_back_duly_till_now","radio_television",1473,"<100$","<1year",3,"no",4,"real_estate",39,"no","own",1,"skilled",1,"yes","yes",0,"M","married"
"401",">0<200$",18,"other_credits_existing_other_bank","business",1887,"no_savings",">1year<=4years",4,"no",4,"real_estate",28,"bank","own",2,"skilled",1,"no","yes",0,"M","married"
"402","no_savings",24,"delay_pay_past","business",8648,"<100$","<1year",2,"no",2,"car_other",27,"bank","own",2,"skilled",1,"yes","yes",1,"M","single"
"403","no_savings",14,"delay_pay_past","car_new",802,"<100$",">1year<=4years",4,"no",2,"car_other",27,"no","own",2,"unskilled",1,"no","yes",0,"M","single"
